quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
1,AA,1/7/2011,$15.82 ,$16.72 ,$15.78 ,$16.42 ,239655616,++,Far higher than expectation,,$16.71 ,$15.97 ,-4.42849,Lower competitive,0.182704
1,AA,1/14/2011,$16.71 ,$16.71 ,$15.64 ,$15.97 ,242963398,--,Average,239655616,$16.19 ,$15.79 ,-2.47066,Lower competitive,0.187852
1,AA,1/21/2011,$16.19 ,$16.38 ,$15.60 ,$15.79 ,138428495,--,Far lower than expectation,242963398,$15.87 ,$16.13 ,1.63831,Lower competitive,0.189994
1,AA,1/28/2011,$15.87 ,$16.63 ,$15.82 ,$16.13 ,151379173,+,Higher than expectation,138428495,$16.18 ,$17.14 ,5.93325,Lower competitive,0.185989
1,AA,2/4/2011,$16.18 ,$17.39 ,$16.18 ,$17.14 ,154387761,++,Average,151379173,$17.33 ,$17.37 ,0.230814,Higher competitive,0.175029
1,AA,2/11/2011,$17.33 ,$17.48 ,$16.97 ,$17.37 ,114691279,+,Far lower than expectation,154387761,$17.39 ,$17.28 ,-0.632547,Higher competitive,0.172712
1,AA,2/18/2011,$17.39 ,$17.68 ,$17.28 ,$17.28 ,80023895,-,Far lower than expectation,114691279,$16.98 ,$16.68 ,-1.76678,Higher competitive,0.173611
1,AA,2/25/2011,$16.98 ,$17.15 ,$15.96 ,$16.68 ,132981863,--,Far higher than expectation,80023895,$16.81 ,$16.58 ,-1.36823,Higher competitive,0.179856
1,AA,3/4/2011,$16.81 ,$16.94 ,$16.13 ,$16.58 ,109493077,--,Lower than expectation,132981863,$16.58 ,$16.03 ,-3.31725,Higher competitive,0.180941
1,AA,3/11/2011,$16.58 ,$16.75 ,$15.42 ,$16.03 ,114332562,--,Average,109493077,$15.95 ,$16.11 ,1.00313,Higher competitive,0.187149
1,AA,3/18/2011,$15.95 ,$16.33 ,$15.43 ,$16.11 ,130374108,+,Higher than expectation,114332562,$16.38 ,$17.09 ,4.33455,Competitive,0.18622
1,AA,3/25/2011,$16.38 ,$17.24 ,$16.26 ,$17.09 ,95550392,++,Far lower than expectation,130374108,$17.13 ,$17.47 ,1.98482,Competitive,0.175541
1,AXP,1/7/2011,$43.30 ,$45.60 ,$43.11 ,$44.36 ,45102042,++,Far higher than expectation,,$44.20 ,$46.25 ,4.63801,Higher competitive,0.405771
1,AXP,1/14/2011,$44.20 ,$46.25 ,$44.01 ,$46.25 ,25913713,++,Far lower than expectation,45102042,$46.03 ,$46.00 ,-0.0651749,Higher competitive,0.389189
1,AXP,1/21/2011,$46.03 ,$46.71 ,$44.71 ,$46.00 ,38824728,-,Far higher than expectation,25913713,$46.05 ,$43.86 ,-4.7557,Higher competitive,0.391304
1,AXP,1/28/2011,$46.05 ,$46.27 ,$43.42 ,$43.86 ,51427274,--,Far higher than expectation,38824728,$44.13 ,$43.82 ,-0.70247,Higher competitive,0.410397
1,AXP,2/4/2011,$44.13 ,$44.23 ,$43.15 ,$43.82 ,39501680,-,Lower than expectation,51427274,$43.96 ,$46.75 ,6.34668,Competitive,0.410771
1,AXP,2/11/2011,$43.96 ,$46.79 ,$43.88 ,$46.75 ,43746998,++,Higher than expectation,39501680,$46.42 ,$45.53 ,-1.91728,Competitive,0.385027
1,AXP,2/18/2011,$46.42 ,$46.93 ,$45.53 ,$45.53 ,28564910,--,Far lower than expectation,43746998,$44.94 ,$43.53 ,-3.13752,Competitive,0.395344
1,AXP,2/25/2011,$44.94 ,$45.12 ,$43.01 ,$43.53 ,39654146,--,Far higher than expectation,28564910,$43.73 ,$43.72 ,-0.0228676,Competitive,0.413508
1,AXP,3/4/2011,$43.73 ,$44.68 ,$42.75 ,$43.72 ,38985037,-,Average,39654146,$43.86 ,$44.28 ,0.957592,Competitive,0.411711
1,AXP,3/11/2011,$43.86 ,$45.54 ,$43.53 ,$44.28 ,37613429,+,Average,38985037,$43.86 ,$44.17 ,0.706794,Lower competitive,0.406504
1,AXP,3/18/2011,$43.86 ,$44.47 ,$42.19 ,$44.17 ,41757526,+,Higher than expectation,37613429,$44.75 ,$45.59 ,1.87709,Lower competitive,0.407516
1,AXP,3/25/2011,$44.75 ,$45.61 ,$44.10 ,$45.59 ,30798332,+,Far lower than expectation,41757526,$45.54 ,$45.36 ,-0.395257,Lower competitive,0.394823
1,BA,1/7/2011,$66.15 ,$70.10 ,$66.00 ,$69.38 ,36258120,++,Far higher than expectation,,$69.42 ,$70.07 ,0.93633,Competitive,0.605362
1,BA,1/14/2011,$69.42 ,$70.50 ,$68.35 ,$70.07 ,18834664,+,Far lower than expectation,36258120,$70.86 ,$71.68 ,1.15721,Lower competitive,0.599401
1,BA,1/21/2011,$70.86 ,$72.99 ,$70.23 ,$71.68 ,29594221,+,Far higher than expectation,18834664,$71.52 ,$69.23 ,-3.2019,Lower competitive,0.585938
1,BA,1/28/2011,$71.52 ,$72.82 ,$69.00 ,$69.23 ,34929673,--,Higher than expectation,29594221,$69.26 ,$71.38 ,3.06093,Lower competitive,0.606673
1,BA,2/4/2011,$69.26 ,$71.64 ,$69.12 ,$71.38 ,22770062,++,Far lower than expectation,34929673,$71.43 ,$72.14 ,0.99398,Lower competitive,0.5884
1,BA,2/11/2011,$71.43 ,$72.99 ,$71.15 ,$72.14 ,21809411,+,Average,22770062,$72.70 ,$73.04 ,0.467675,Higher competitive,0.582201
1,BA,2/18/2011,$72.70 ,$73.04 ,$71.09 ,$73.04 ,15989248,+,Far lower than expectation,21809411,$72.35 ,$72.30 ,-0.0691085,Higher competitive,0.575027
1,BA,2/25/2011,$72.35 ,$74.29 ,$70.00 ,$72.30 ,26258425,-,Far higher than expectation,15989248,$72.47 ,$71.80 ,-0.92452,Higher competitive,0.580913
1,BA,3/4/2011,$72.47 ,$72.90 ,$68.60 ,$71.80 ,27527285,-,Average,26258425,$71.60 ,$71.64 ,0.0558659,Higher competitive,0.584958
1,BA,3/11/2011,$71.60 ,$72.50 ,$69.91 ,$71.64 ,25556296,+,Average,27527285,$71.17 ,$69.10 ,-2.90853,Competitive,0.586265
1,BA,3/18/2011,$71.17 ,$71.23 ,$67.34 ,$69.10 ,29746370,--,Higher than expectation,25556296,$70.29 ,$73.34 ,4.33917,Competitive,0.607815
1,BA,3/25/2011,$70.29 ,$73.50 ,$70.03 ,$73.34 ,24423545,++,Lower than expectation,29746370,$73.50 ,$74.01 ,0.693878,Competitive,0.572675
1,BAC,1/7/2011,$13.85 ,$14.69 ,$13.80 ,$14.25 ,1453438639,++,Far higher than expectation,,$14.17 ,$15.25 ,7.62174,Competitive,0.0701754
1,BAC,1/14/2011,$14.17 ,$15.25 ,$14.09 ,$15.25 ,760935694,++,Far lower than expectation,1453438639,$15.08 ,$14.25 ,-5.50398,Competitive,0.0655738
1,BAC,1/21/2011,$15.08 ,$15.16 ,$13.94 ,$14.25 ,982445809,--,Far higher than expectation,760935694,$14.25 ,$13.60 ,-4.5614,Competitive,0.0701754
